Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,0.485,0.061,0.211,0.143,0.013,0.086,1,1
Alabama,0.466,0.06,0.192,0.162,0.021,0.1,1,
Alaska,0.433,0.041,0.257,0.107,0.053,0.108,1,
Arizona,0.45,0.054,0.213,0.162,0.015,0.106,1,
Arkansas,0.411,0.056,0.27,0.156,0.015,0.092,1,
California,0.47,0.07,0.265,0.117,0.008,0.07,1,
Colorado,0.513,0.07,0.185,0.131,0.022,0.08,1,
Connecticut,0.519,0.055,0.226,0.141,0.007,0.051,1,
Delaware,0.488,0.062,0.206,0.176,0.012,0.057,1,
District of Columbia,0.564,0.054,0.249,0.084,0.012,0.037,1,
Florida,0.4,0.104,0.178,0.179,0.017,0.121,1,
Georgia,0.483,0.061,0.18,0.127,0.022,0.127,1,
Hawaii,0.51,0.045,0.204,0.161,0.044,0.037,1,
Idaho,0.479,0.066,0.201,0.149,0.018,0.085,1,
Illinois,0.532,0.052,0.198,0.143,0.007,0.069,1,
Indiana,0.525,0.045,0.198,0.148,0.009,0.075,1,
Iowa,0.533,0.053,0.2,0.156,0.008,0.049,1,
Kansas,0.53,0.06,0.152,0.147,0.019,0.092,1,
Kentucky,0.445,0.043,0.289,0.154,0.012,0.056,1,
Louisiana,0.407,0.047,0.32,0.136,0.015,0.075,1,
Maine,0.487,0.066,0.195,0.185,0.014,0.054,1,
Maryland,0.53,0.056,0.203,0.132,0.019,0.061,1,
Massachusetts,0.547,0.06,0.232,0.134,0.004,0.025,1,
Michigan,0.5,0.049,0.235,0.159,0.005,0.051,1,
Minnesota,0.559,0.055,0.185,0.153,0.006,0.043,1,
Mississippi,0.421,0.055,0.24,0.145,0.02,0.119,1,
Missouri,0.521,0.062,0.147,0.164,0.013,0.093,1,
Montana,0.437,0.084,0.198,0.176,0.025,0.08,1,
Nebraska,0.553,0.067,0.149,0.142,0.018,0.07,1,
Nevada,0.463,0.06,0.208,0.141,0.015,0.114,1,
New Hampshire,0.577,0.05,0.135,0.176,0.012,0.05,1,
New Jersey,0.546,0.057,0.184,0.138,0.004,0.072,1,
New Mexico,0.34,0.044,0.344,0.156,0.016,0.1,1,
New York,0.476,0.059,0.276,0.133,0.004,0.052,1,
North Carolina,0.46,0.069,0.188,0.155,0.025,0.104,1,
North Dakota,0.575,0.079,0.098,0.144,0.027,0.077,1,
Ohio,0.507,0.044,0.216,0.16,0.008,0.065,1,
Oklahoma,0.429,0.055,0.201,0.155,0.023,0.138,1,
Oregon,0.473,0.056,0.238,0.163,0.009,0.061,1,
Pennsylvania,0.516,0.053,0.208,0.163,0.005,0.054,1,
Rhode Island,0.505,0.056,0.239,0.151,0.005,0.043,1,
South Carolina,0.439,0.068,0.201,0.17,0.022,0.1,1,
South Dakota,0.498,0.088,0.138,0.155,0.027,0.094,1,
Tennessee,0.476,0.06,0.196,0.15,0.017,0.101,1,
Texas,0.461,0.06,0.169,0.111,0.018,0.18,1,
Utah,0.593,0.09,0.11,0.102,0.013,0.091,1,
Vermont,0.483,0.053,0.246,0.176,N/A,0.033,1,
Virginia,0.539,0.048,0.155,0.149,0.041,0.068,1,
Washington,0.518,0.051,0.21,0.138,0.019,0.065,1,
West Virginia,0.425,0.032,0.281,0.189,0.01,0.062,1,
Wisconsin,0.544,0.053,0.181,0.16,0.008,0.054,1,
Wyoming,0.495,0.085,0.115,0.169,0.021,0.115,1,
Puerto Rico,0.228,0.087,0.469,0.152,0.006,0.058,1,
,,,,,,,,
Notes,,,,,,,,
The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to the data collection because of the coronavirus pandemic. ,,,,,,,,
,,,,,,,,
The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.   ,,,,,,,,
,,,,,,,,
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type.",,,,,,,,
,,,,,,,,
